대여소_ID,주소1
2,마포구
3,마포구
4,마포구
5,마포구
6,마포구
7,마포구
8,마포구
9,마포구
10,마포구
11,마포구
12,서대문구
13,서대문구
14,서대문구
15,마포구
16,마포구
17,서대문구
18,마포구
19,마포구
20,마포구
21,마포구
22,마포구
23,마포구
24,마포구
25,서대문구
26,마포구
27,마포구
28,마포구
29,마포구
30,서대문구
31,마포구
32,마포구
33,서대문구
34,서대문구
35,서대문구
36,서대문구
37,서대문구
38,마포구
39,서대문구
40,서대문구
41,서대문구
42,서대문구
43,서대문구
45,영등포구
46,영등포구
47,영등포구
48,성동구
50,영등포구
51,영등포구
52,영등포구
53,영등포구
54,영등포구
55,영등포구
56,영등포구
57,영등포구
58,영등포구
59,영등포구
60,영등포구
61,영등포구
62,영등포구
63,영등포구
64,영등포구
65,영등포구
66,영등포구
67,영등포구
68,영등포구
69,영등포구
70,영등포구
71,영등포구
72,영등포구
73,영등포구
74,마포구
76,마포구
77,마포구
78,마포구
79,마포구
80,마포구
81,마포구
82,마포구
83,마포구
84,마포구
85,마포구
86,마포구
87,마포구
88,마포구
89,마포구
90,마포구
91,마포구
92,마포구
93,은평구
94,마포구
95,마포구
96,마포구
97,광진구
98,광진구
99,광진구
100,광진구
101,광진구
102,광진구
103,성동구
104,성동구
105,성동구
106,성동구
107,성동구
108,성동구
109,성동구
110,마포구
111,성동구
112,성동구
113,광진구
114,광진구
115,성동구
116,중구
117,종로구
118,종로구
119,종로구
120,종로구
121,종로구
122,종로구
123,종로구
124,종로구
125,종로구
126,중구
127,도봉구
128,중구
129,중구
130,종로구
131,종로구
132,종로구
133,종로구
134,중구
135,중구
136,중구
137,중구
138,중구
139,중구
140,중구
141,종로구
142,종로구
143,종로구
144,종로구
145,종로구
146,중구
147,중구
148,중구
149,종로구
150,종로구
151,종로구
152,중구
153,종로구
154,종로구
155,종로구
156,종로구
157,종로구
158,종로구
159,종로구
160,종로구
161,종로구
162,중구
163,중구
164,서초구
165,종로구
166,종로구
167,종로구
168,종로구
169,종로구
170,종로구
171,종로구
172,종로구
