瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s)
572,己巢,2022-01-01,-5.2,-11.8,.8,0,.4
572,己巢,2022-01-02,-.9,-5.9,3.9,0,1
572,己巢,2022-01-03,-2.3,-9,3,0,.5
572,己巢,2022-01-04,-2.2,-6.9,1.9,0,1
572,己巢,2022-01-05,-3.4,-8.8,1.9,0,.4
572,己巢,2022-01-06,-2.7,-7.2,3.2,0,.6
572,己巢,2022-01-07,-2.9,-8.1,4.3,0,.3
572,己巢,2022-01-08,-.1,-7.4,4.4,0,.6
572,己巢,2022-01-09,.6,-3.7,4.8,0,.3
572,己巢,2022-01-10,0,-5.3,5.4,0,
572,己巢,2022-01-11,-6.4,-9.2,0,.5,2.2
572,己巢,2022-01-12,-6.9,-11.8,-2.3,0,.9
572,己巢,2022-01-13,-5.6,-7.9,-2.4,0,2.3
572,己巢,2022-01-14,-4.9,-9.9,.8,0,.6
572,己巢,2022-01-15,-.7,-6.6,3.1,0,
572,己巢,2022-01-16,-1.1,-5.9,3.6,0,1.6
572,己巢,2022-01-17,-5.1,-9.6,.6,0,1.3
572,己巢,2022-01-18,-5,-10,-.3,0,.8
572,己巢,2022-01-19,-5.6,-8.7,-2.4,.5,.9
572,己巢,2022-01-20,-5.4,-11.4,1.3,0,.5
572,己巢,2022-01-21,-4,-10.2,4.2,0,.4
572,己巢,2022-01-22,-.4,-6.4,5.5,0,.4
572,己巢,2022-01-23,1.5,-2.6,7.2,0,.6
572,己巢,2022-01-24,3.3,-3.7,8.6,0,.9
572,己巢,2022-01-25,3,1.5,4.9,.5,1
572,己巢,2022-01-26,1.5,-3,6.8,0,.7
572,己巢,2022-01-27,-.5,-4.9,4.4,0,.7
572,己巢,2022-01-28,-1.9,-5.2,2.8,0,1.3
572,己巢,2022-01-29,-3.3,-8,1.3,0,1
572,己巢,2022-01-30,-3,-9.4,2.6,0,.9
572,己巢,2022-01-31,-1.5,-8.9,4.9,0,.5
572,己巢,2022-02-01,-.8,-3.5,1.2,2,1.2
572,己巢,2022-02-02,-2.9,-7.5,.8,0,.9
572,己巢,2022-02-03,-3,-7.6,1.2,0,1.1
572,己巢,2022-02-04,-4.8,-8.2,-.4,0,1.9
572,己巢,2022-02-05,-5.8,-8.9,-1.4,0,1.7
572,己巢,2022-02-06,-3.7,-10.2,1.8,0,1.2
572,己巢,2022-02-07,-2.7,-9.1,2.5,0,.8
572,己巢,2022-02-08,-.9,-6.1,5.6,0,.7
572,己巢,2022-02-09,.2,-6.3,6.9,0,.4
572,己巢,2022-02-10,1.2,-4,7.6,0,.8
572,己巢,2022-02-11,2,-4.8,9,0,.5
572,己巢,2022-02-12,3.4,-2.1,10.3,0,.5
572,己巢,2022-02-13,3.5,-1.4,10.3,0,.4
572,己巢,2022-02-14,2.1,-3,9.3,1,.9
572,己巢,2022-02-15,-4.1,-7.1,-.9,0,1.8
572,己巢,2022-02-16,-6.5,-8.5,-3.5,0,2.3
572,己巢,2022-02-17,-6,-9.5,-1.2,0,1.5
572,己巢,2022-02-18,-1.8,-9.6,5.3,0,.5
572,己巢,2022-02-19,-1.1,-5.7,3.5,0,1.3
572,己巢,2022-02-20,-4.1,-7.7,-.6,0,2.1
572,己巢,2022-02-21,-2.7,-8.6,4.6,0,1.8
572,己巢,2022-02-22,-3.6,-6.6,.5,0,2.1
572,己巢,2022-02-23,-5,-10,-.4,0,1.4
572,己巢,2022-02-24,-2.5,-9.7,4,0,.9
572,己巢,2022-02-25,2.8,-5.5,8.8,0,.9
572,己巢,2022-02-26,5.9,2.1,10.4,3,2.6
572,己巢,2022-02-27,4,-3.2,9.3,0,1.2
572,己巢,2022-02-28,6,.5,11.2,0,.8
572,己巢,2022-03-01,5,.4,9.3,3.5,.7
572,己巢,2022-03-02,2.9,-3.6,9,0,.8
572,己巢,2022-03-03,5.3,-1,12.2,0,.8
572,己巢,2022-03-04,7.1,-1.5,15.3,0,1.7
572,己巢,2022-03-05,3.1,.1,6.2,0,2.5
572,己巢,2022-03-06,2.1,-1.9,7,0,1.7
572,己巢,2022-03-07,2.5,-3.7,9.9,0,.6
572,己巢,2022-03-08,5.1,-1.7,12.3,0,.6
572,己巢,2022-03-09,6.3,-.5,14.8,0,.5
572,己巢,2022-03-10,8.5,1.1,16.5,0,.7
572,己巢,2022-03-11,10.2,2.4,18.1,0,.5
572,己巢,2022-03-12,12.9,4.1,19.7,0,1.1
572,己巢,2022-03-13,12.2,10.2,15.6,21,.7
572,己巢,2022-03-14,9,5.6,14.3,5.5,.9
572,己巢,2022-03-15,7.2,1.8,13.3,0,.8
572,己巢,2022-03-16,10.3,2.4,17,0,.6
572,己巢,2022-03-17,11.1,7.1,15.3,.5,1.4
572,己巢,2022-03-18,7.7,5.9,10.2,0,1.4
572,己巢,2022-03-19,3.1,1,5.9,11,.8
572,己巢,2022-03-20,5,.8,8.9,0,.9
572,己巢,2022-03-21,4.9,-1.9,11.1,0,.8
572,己巢,2022-03-22,7,-.3,13.3,0,.9
572,己巢,2022-03-23,6.5,4.1,8.7,0,.8
572,己巢,2022-03-24,8.3,2.8,13,0,.9
572,己巢,2022-03-25,11.9,4.6,18.4,7.5,1
572,己巢,2022-03-26,11.7,8.5,15.7,15,1.3
572,己巢,2022-03-27,8.1,3.4,13.6,0,2.4
572,己巢,2022-03-28,7.4,-.6,15,0,.6
572,己巢,2022-03-29,9.4,1.7,16.2,0,.8
572,己巢,2022-03-30,10.6,4,15.1,0,.6
572,己巢,2022-03-31,11.7,6.7,16.5,0,1.5
572,己巢,2022-04-01,8.6,2.9,14.7,0,.8
572,己巢,2022-04-02,7.6,1.7,14.4,0,.8
572,己巢,2022-04-03,9,.8,17.3,0,.7
572,己巢,2022-04-04,9.5,2.9,17.2,0,.7
572,己巢,2022-04-05,10.3,2.1,16.9,0,.8
572,己巢,2022-04-06,12,5.1,19.1,0,1
572,己巢,2022-04-07,11.8,6.6,17.2,0,1.2
572,己巢,2022-04-08,12.8,3.7,20.8,0,.8
572,己巢,2022-04-09,17.6,10.1,24.8,0,1.5
572,己巢,2022-04-10,17.1,9.3,25.3,0,.8
572,己巢,2022-04-11,18.8,10.7,26.5,0,.8
572,己巢,2022-04-12,19.6,15.3,25.6,0,1.1
572,己巢,2022-04-13,11.5,9.1,15.5,11,1.3
572,己巢,2022-04-14,11.2,8.5,14.5,0,1.4
572,己巢,2022-04-15,11.9,4.7,19.2,0,1
572,己巢,2022-04-16,12.2,4.7,19.6,0,.9
572,己巢,2022-04-17,13.2,3.8,22.1,0,.8
572,己巢,2022-04-18,15.2,10.3,21.4,0,1.1
572,己巢,2022-04-19,14.1,6.4,22.2,0,.8
572,己巢,2022-04-20,14.6,6.3,22.3,0,.8
572,己巢,2022-04-21,15.4,7,22.6,0,1
572,己巢,2022-04-22,15.5,13.4,19.3,0,1.3
572,己巢,2022-04-23,16.6,8.9,24.7,0,.5
572,己巢,2022-04-24,18.5,12.3,25.1,0,.6
572,己巢,2022-04-25,19.7,16.5,24.1,1.5,.7
572,己巢,2022-04-26,20.7,15.5,27.8,7.5,1.1
572,己巢,2022-04-27,17.2,11.9,23.7,0,1.4
572,己巢,2022-04-28,17.3,9.8,25.3,0,.8
572,己巢,2022-04-29,13.1,9.6,16.3,15,1.2
572,己巢,2022-04-30,12.9,10.1,17.5,0,.9
572,己巢,2022-05-01,12.6,5.2,18.6,0,1
572,己巢,2022-05-02,13,6.5,19.3,0,1
572,己巢,2022-05-03,13.6,6.2,20.8,0,.7
572,己巢,2022-05-04,16.8,7.2,25.6,0,.8
572,己巢,2022-05-05,17.6,9,25.6,0,.5
572,己巢,2022-05-06,18.9,11,25.3,0,.8
572,己巢,2022-05-07,18.3,14.5,23.9,0,1.2
572,己巢,2022-05-08,14.6,10.4,17.1,2.5,1
572,己巢,2022-05-09,17,10.2,24.2,0,.6
572,己巢,2022-05-10,18.7,11,24.5,0,.7
572,己巢,2022-05-11,19.4,14.7,24.7,0,.6
572,己巢,2022-05-12,20.1,13,27.3,0,.5
572,己巢,2022-05-13,19.2,13.2,24.3,0,.8
572,己巢,2022-05-14,15,9.9,19.2,0,.9
572,己巢,2022-05-15,14.8,7,22.1,0,.9
572,己巢,2022-05-16,16.7,7.9,23.7,0,.9
572,己巢,2022-05-17,19.4,11.7,26.8,0,.9
572,己巢,2022-05-18,19.8,13.9,26.4,1.5,1
572,己巢,2022-05-19,20.1,15.2,24.2,0,.9
572,己巢,2022-05-20,19.7,13,25.9,0,.6
572,己巢,2022-05-21,19.6,14.8,25.6,0,.7
572,己巢,2022-05-22,20.2,15.5,26.2,0,.7
572,己巢,2022-05-23,22.2,15.6,30.1,0,.8
572,己巢,2022-05-24,22.5,14.3,30.4,0,.9
572,己巢,2022-05-25,20.5,14.7,26.7,1,.7
572,己巢,2022-05-26,18.4,12.8,23.7,.5,.8
